,token_address,from_address,to_address,token_id,transaction_hash,log_index,block_height,action,block_signed_at,maker,taker,price,sender,receiver,currency,market_place
0,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0xa4743364c6916d20f40c5af01c0376b360e82a07,721,0xd2e1196d3e8d6427c3b0f444f7bad9b18fef37f314dcca561dfc125ac2bc73a2,4232,15047134,Transfer,2022-06-29T22:02:15Z,,,,,,,
1,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x742331c83d7c6e3769a7889424708f161fa42aa6,0xf57d87bc18613e832b8eb961fd1d01b99c399895,2171,0x1fee4fb4cb248a89d871fcfe9754af171da53a02c9ddd5ded29768bae96e5832,2189,15063139,Transfer,2022-07-02T12:36:21Z,,,,,,,
2,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x87fbad51f3e86d9771df88ba6d6879f1b9c59e27,0xa7595effb6861baf15ebc3cd306bc1c80fc1c633,135,0x8f92b8de0ca46ba39641af8fed85a0f8cacccddbf60d912905b138bd6d03a21a,1896,15058032,Transfer,2022-07-01T17:50:23Z,,,,,,,
3,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x7eaf0ee800b6ede9982b51b926a0ad634e95a11d,0x1c1a4f2dc47772bf312c85e7e272d6e30c846d87,638,0xf1604e76154d1de51a96b20d6d2d46993f349dd6f323affcfbcaba2244efe3cc,1848,15057988,Transfer,2022-07-01T17:41:18Z,,,,,,,
4,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x339254a045903ae54901dd126cfe2d3f41d48161,0x1c1a4f2dc47772bf312c85e7e272d6e30c846d87,1348,0xf1604e76154d1de51a96b20d6d2d46993f349dd6f323affcfbcaba2244efe3cc,1846,15057988,Transfer,2022-07-01T17:41:18Z,,,,,,,
5,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x6cee5d95242f489c1ad29ee4b6ffd1833bed5317,0x2ec01990fed59eebe7b8adce5c4fb28331a331c1,174,0x9e4131e0d4c6963fe48e6d67c26cdf6e1157b7ba45fe5bc404d6fe19bafa8fbe,1767,15057988,Transfer,2022-07-01T17:41:18Z,,,,,,,
6,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0xcc27f99028ba6c15ea9679eef4c627fb37e79df4,0xb684cdc554fe306b068522ed6fdd83ca419863a6,1457,0x8c9bf98fb888509ff4858e05c8bdf9e99efc3e37ab66407e8ea1dc05768f2181,1635,15053054,Transfer,2022-06-30T23:13:56Z,,,,,,,
7,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0xcb4bedf14eec39fd87f348c275cdbda2a40f37a3,3485,0x6dbf5c5959c7c7b4d3273789cacbbcba0eaec21fb315d8980906729172e3c537,1542,15048570,Minted,2022-06-30T04:28:30Z,,,,,,,
8,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x3a08c3a1d056f8cb80042bdffa067383cf12287d,0x52e68fbc50941b757560544e78ebe0718ee98517,4739,0xf6b1f8ee929a6cf84f09674048cfb27321b78e13d665d76d4ab621cc076d281c,1533,15053052,Transfer,2022-06-30T23:13:33Z,,,,,,,
9,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0xadb040f4f27ea941bccac56b763f577da2ed0311,0x18c9a088ff2eae54348c98aa7b7950af8943a9c9,2808,0x6661ce9e305d177578ae2984b057b9b786e2f6b230fff39ae3791c61d4801ab6,1505,15053057,Transfer,2022-06-30T23:16:11Z,,,,,,,
10,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0xbd74584db479142d9ede7f84b5c35c8210c6f1dc,3486,0x9620308f0656bce79933277a5e715c3640586e088bfa7b564016f744d42e190b,1463,15048572,Minted,2022-06-30T04:28:48Z,,,,,,,
11,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0xed885b33cdf8be4314bc80f0a21a1dc9b4df3ced,4133,0x5539639717911954cbcec25a1fc657b0738a72a497fc74237f519a2d3e20fb41,1422,15050166,Minted,2022-06-30T11:36:07Z,,,,,,,
12,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0xad1dfa9eab357f55f7a0e2e812d016831957f2a5,0x52e68fbc50941b757560544e78ebe0718ee98517,2056,0xa215708ad1c406096ceb8ed273f5335810879f0093732eee2bdae289b67d6807,1387,15053057,Transfer,2022-06-30T23:16:11Z,,,,,,,
13,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x5382d71dc469aa93d839c70dac22fe0713fa3986,0x2c5651b339096f40011d21abbd263abb357e650c,1773,0xc46f534b1633ff58297e85c1f22e98174af32bcc1e007b1bb4f9f93d66de6bb4,1342,15053056,Transfer,2022-06-30T23:15:10Z,,,,,,,
14,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x3503cedeabbb99c7ae2dbc996d57550fa756bde4,0x52e68fbc50941b757560544e78ebe0718ee98517,522,0x4a1fe1cd9326babbe87a871addde03181340cad94ff4b822d2fd6d7864f95248,1329,15055136,Transfer,2022-07-01T06:57:45Z,,,,,,,
15,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0xead0c01070c421f05247eb06ffa546a603328d08,4136,0xc0fea0beea2aeb905fc18d0c7d3c655dee92868c5f128250863b699d7a919871,1190,15050174,Minted,2022-06-30T11:39:26Z,,,,,,,
16,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0xddcc494b188d01798be8aac46ba914c653edea25,0xd742bbabb949512f0677b4ed6e205e07db5d4d15,3642,0xc67d6295da791658b7bdf27e8ce4f604c62a29a7d444f1468c4aed0faef8e891,1169,15058046,Transfer,2022-07-01T17:54:14Z,,,,,,,
17,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x96abe17a916cf4fdda0a1c97ca04bf250b69c3c6,0x5d7fb8f1caa75a8d26f37057ded33c6a44adc3a2,4778,0xf6cf7d107bd12ff52a38e4f719d98350f68c7d04463306a40548b1aa2c8ba4e3,1153,15054005,Transfer,2022-07-01T02:50:50Z,,,,,,,
18,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x4d1c34dad22c7df53ea9e4a1bdeb5d895345a861,0x80c31bed37fdd07d1171d44a5c39623829caeb2e,3766,0xdb7c9ab228cb2eeef9f2df44357fb82c89938a9a00538417949220300af0f518,1147,15058046,Transfer,2022-07-01T17:54:14Z,,,,,,,
19,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0xf4020c28adf2cf646a2b847c39b9e63fb95ddda7,4134,0xdd6f75329e6ad44c59c9f57615fa625d1eef55ba2e99e2929e29d16abc68ac58,1139,15050169,Minted,2022-06-30T11:37:29Z,,,,,,,
20,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x2ea5c95a66900fc89383a05a1cfd26c1c808fcd8,0x44f52df46aa7077121ffc24c21b3c39716e4a921,4219,0x4a5672be45664b33b2d40f6bb7e86abf807dbdd2a52987a0489385bab27f60f1,1086,15060558,Transfer,2022-07-02T03:13:53Z,,,,,,,
21,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x03d0f9aeff01352dd162f7e1c76d0efd6ff3011d,0xa85a4d93bdff07a25fd6d440b9fbb0c4d20ad88c,3623,0x6c7cdb52930939307062f8a18be4795b3efe177df358d0a6b063872f8750b045,1071,15064120,Transfer,2022-07-02T16:17:38Z,,,,,,,
22,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x3a08c3a1d056f8cb80042bdffa067383cf12287d,0x52e68fbc50941b757560544e78ebe0718ee98517,4733,0xf9550fca69edc8f5f80d6406ae9baed9c36f3d44c1a446cbeebfd7784d0a7ffe,1062,15053055,Transfer,2022-06-30T23:14:30Z,,,,,,,
23,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0xf9d5ded034d7d27a6dc993add34c3424cae32637,0x4a5b46fe0725ded3bc227e3fb19dccc7ab0fbea1,4920,0xa7594739cf401aa3a123d3bb5d23b2949f3a24fe92bbd7d6fa075eb99a0685c7,1043,15064115,Transfer,2022-07-02T16:15:07Z,,,,,,,
24,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0xeb6acbd9415718ee10fc6924f88f3a46d5a79c8d,0x2af9cb776aa1d753fb8925da208795c5523a97aa,1273,0x624457978256fc918c4dc2e7af1f4a91d286bb8e0e895cdce55fd304abca98b5,996,15064268,Transfer,2022-07-02T16:46:37Z,,,,,,,
25,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0xbbb6d9ef92d4e685c853c61964a30698d1a5db10,0xf65f186c6790d751f1fb57c3ffd0fdf5dc47c7c3,3769,0x371b874c5597d78e097ed00e2e92edaf8ca7378c3f8e9ecbd478ca66d4a9a195,948,15053070,Transfer,2022-06-30T23:18:34Z,,,,,,,
26,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x8191956a439f33b8bed1273dcf13ff8e234b31b4,0x8dc7e2d216a9ebcea51c58255b86264755f194cb,1425,0x60972005584b3f2978d067a20819bf2ef414b244bbeb5e87927cbccf89ce3021,927,15051659,Transfer,2022-06-30T17:55:47Z,,,,,,,
27,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x365a82caa0faff8e8b9af9c50af8d9ae040d676b,378,0xf0a2d39c9755a7cde6d6066547dbff27b0ed8dff6c1a0f3ff8a393303352bbaf,900,15059319,Transfer,2022-07-01T22:43:04Z,,,,,,,
28,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x2cfbad98f41d8eaa6d8c2ccab4fc3a54c5950926,4800,0x0f227f9896ee7da7030b25e8b047e0cf0be4edcb9c6ecd4c246933955758f879,899,15052329,Transfer,2022-06-30T20:25:27Z,,,,,,,
29,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0x8a671f74f098a5cff90238b2d1c1e02c374b01ef,3793,0xed9135a5f0f852bdee5258abdaea04f02b007e7c9f74e4c711b194af1b66aefe,896,15049286,Minted,2022-06-30T07:43:32Z,,,,,,,
30,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x2cfbad98f41d8eaa6d8c2ccab4fc3a54c5950926,3831,0x0f227f9896ee7da7030b25e8b047e0cf0be4edcb9c6ecd4c246933955758f879,893,15052329,Transfer,2022-06-30T20:25:27Z,,,,,,,
31,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0x7909de026ce9dac854c5bdb10b375db2031132a3,3772,0x44a3d227d784ed063e784b3e869236a374030279008d7f35dc191747696f639d,890,15049232,Minted,2022-06-30T07:30:17Z,,,,,,,
32,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x5e877b575f43783124f92fc8693697e3bd0a9df9,1824,0xdc27ffdabf640f7dbc1f54fb466c5a67e18322dd56c1a90f71990c6498ec5ebc,867,15059383,Transfer,2022-07-01T22:59:11Z,,,,,,,
33,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0x02ab336ff6f0e83e87ef6bd82e4e5231b9dacd99,3771,0xd32562d646554a6fdb2b622fde7ad598e573db34bd72b312ea34078570f3d60b,849,15049232,Minted,2022-06-30T07:30:17Z,,,,,,,
34,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0xb0509005b9e77ca51dac5a0b6cbef6c84f0045a1,4075,0xf1c7a312d7069899fa94715a1f0a1adc349074cd55f484240cd029ffef4e5ad3,843,15050021,Minted,2022-06-30T10:59:30Z,,,,,,,
35,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0x2185a2019764b4a00a68274b82ec602900e19728,2801,0x4e6d9dc26f83b7bb896173f1f9edea1ba364c215904fdf788275533ce164d007,840,15047804,Minted,2022-06-30T00:54:22Z,,,,,,,
36,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x5afc85f6031f6e536d5941cc256865f0b4c6eed9,1251,0xc05d48e4b5f6c94b465a78cc91a133e9b0ee17d1645b05d10bf86f27e06ec59e,828,15047493,Transfer,2022-06-29T23:30:00Z,,,,,,,
37,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0x63b243515444069cd00f73078e422cc38c11e0f2,2954,0xa134ee673e0ae1acaff8bed954b020de1b39230e7d9619dd06dd1c724b6124ed,812,15048031,Minted,2022-06-30T02:01:13Z,,,,,,,
38,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x39329ef3346b671fd11224ee611c15a8c4616d2f,0xaab432c3aa13441dcfefa197b9437e301fd6580a,2421,0x779071dc0b2ff497a50b5a4d025231c05b04870590edb190ad05761b319c97a6,807,15047601,Transfer,2022-06-30T00:01:21Z,,,,,,,
39,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x1883468f272ff030efd5082f42031611fa6c2dda,0x8aeae3e6b01bcab752c236c7fd3cf77c28fa087a,1512,0xbb418918adbff78b03da0437b35bc9f793172de7d75b461f0a6cb9f7b3900643,797,15051352,Transfer,2022-06-30T16:34:47Z,,,,,,,
40,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0xdf5e4310c81df7a3423a90433fb9ff0f7d8d02bf,0x7a5a4c6e042de7fddc3411c0b37b2eb8b99992dc,3503,0x0011a4e4a067116bc9554be99872cbf122a53e467b1745bfff9d44a1e95ebbc4,785,15058797,Transfer,2022-07-01T20:45:34Z,,,,,,,
41,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x3dfaad8f371e5017771b2786f6d0fb852c5449b0,0x579dee3a4faa2361665fe1e9b19be35314da8e2a,643,0x3368caa7c3bc147aa5ce6b28fd111e45e7859827971618cb5df87e1eda7b5a77,773,15050624,Transfer,2022-06-30T13:43:03Z,,,,,,,
42,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0xe5fbd67a95cc3933aee712b3b1abffc6bf81767b,2800,0x43ca152544b2a5b02baf8e682ca9cebf42c0327e312599911748fed34d3fd547,765,15047804,Minted,2022-06-30T00:54:22Z,,,,,,,
43,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0xfb5dcb5f3ea1eeef70c01e1c13139236a7a72bd4,3331,0xce02a8a2706abea52ccc372f574ce845242cd895d5c4ae1a81ae4fe19bf3ac97,764,15048441,Minted,2022-06-30T03:51:21Z,,,,,,,
44,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x06f609f6de54a75936c461bacace405b842f6827,0xd87697d737dd4e51347677fbcca92a2bb4c4c756,2527,0x37ce4f27c771ce44bab7385dd751f7515fa656df28a407837736f816bda8acaf,762,15047613,Transfer,2022-06-30T00:03:29Z,,,,,,,
45,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0x0b022203eeb98533a293ad8566c4e6b8c7329a7b,3768,0x19a7c62528df5af15e0995e62102b5f9823e65a242ff8ce16860112933401316,758,15049227,Minted,2022-06-30T07:28:31Z,,,,,,,
46,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0x252a6d6f668886e3655c79c8c8a81c2236940067,3330,0xca96f02286bb5016dcffa3b9277fdcf93325e72b1065c70a30f71633ace3c87d,758,15048441,Minted,2022-06-30T03:51:21Z,,,,,,,
47,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0ded5e6b94c67b229e1fb735ef598e5c7f8803d1,0x3032a82ac14c31b2c6f464285db9c01a2207d3fd,4081,0xf6cdcdb1ff1c1ba616425386a36d485481f7b5e1ea1d559bcf26665c553e76ac,756,15058173,Transfer,2022-07-01T18:25:36Z,,,,,,,
48,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0x2d8f11b3e4010c067ad964d5d8558e2b61e21f07,3329,0x1f1c3820a96a04e34289c0de2b0123158089d2ee8ccd50754acbcb0bd8cf5dc7,754,15048441,Minted,2022-06-30T03:51:21Z,,,,,,,
49,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0x0000000000000000000000000000000000000000,0xb5c7a52527352370e68b6f1e1d9587a7fc8fdff7,4035,0x7e8ed0a52b61994bde52288b9549f8216a4f253871222400a4da3636750ccf71,739,15049961,Minted,2022-06-30T10:43:32Z,,,,,,,
50,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0xb50b26255a6a5efa4ef75eb978a92639da185564,0xdc67e4afc3546d1ec45c4b0d56bfbd9d9ba16a3a,1576,0xa0f0b85772814d94def721f54f7767d0baaffb75641089d3dc05a82c8921982a,732,15055081,Transfer,2022-07-01T06:45:59Z,,,,,,,
